can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_str1,can_str2,can_cit,can_sta,can_zip,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,can_con,tot_con,tra_fro_oth_aut_com,can_loa,oth_loa,tot_loa,off_to_ope_exp,off_to_fun,off_to_leg_acc,oth_rec,tot_rec,ope_exp,exe_leg_acc_dis,fun_dis,tra_to_oth_aut_com,can_loa_rep,oth_loa_rep,tot_loa_rep,ind_ref,par_com_ref,oth_com_ref,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,winner,votes
H4NE01064,"FORTENBERRY, JEFFREY L. HONORABLE",H,NE,1,REP,INCUMBENT,6415 RAINIER DR,,LINCOLN,NE,685104128,"$417,079.02 ","$29,868.38 ","$446,947.40 ",,"$309,500.00 ",,"$756,447.40 ",,,,,,,,"$5,031.46 ","$761,478.86 ","$268,820.36 ",,,,,,,,,$500.00 ,$500.00 ,"$78,900.00 ","$348,220.36 ","$1,159,346.64 ","$1,572,605.14 ","$755,947.40 ","$268,820.36 ",,,01-01-15,10/19/2016,Y,187258
H2IL13120,"DAVIS, RODNEY L",H,IL,13,UNK,INCUMBENT,305 BEECHWOOD DR,,TAYLORVILLE,IL,625689601,"$596,218.77 ","$108,655.83 ","$704,874.60 ","$2,700.00 ","$1,725,694.54 ",,"$2,433,269.14 ","$10,874.55 ",,,,"$3,426.70 ",,,"$27,552.16 ","$2,475,122.55 ","$1,438,979.27 ",,,,,,,$100.00 ,,"$4,750.00 ","$4,850.00 ","$238,690.25 ","$1,682,519.52 ","$126,337.40 ","$918,940.07 ","$2,428,419.14 ","$1,435,552.57 ",,,01-01-15,10/19/2016,Y,186791
H6WA09025,"SMITH, D ADAM",H,WA,9,DEM,INCUMBENT,PO BOX 578,,RENTON,WA,98057,"$237,217.00 ","$20,751.93 ","$257,968.93 ",,"$567,500.00 ",,"$825,468.93 ",,,,,"$1,531.07 ",,,"$2,791.46 ","$829,791.46 ","$829,274.73 ",,,,,,,,,"$1,750.00 ","$1,750.00 ","$219,592.68 ","$1,050,617.41 ","$579,496.88 ","$358,670.93 ","$823,718.93 ","$827,743.66 ",,,01-01-15,10/19/2016,Y,186787
H8UT03089,"CHAFFETZ, JASON",H,UT,3,REP,INCUMBENT,315 WESTFIELD CIRCLE,,ALPINE,UT,84004,"$522,001.00 ","$12,757.35 ","$534,758.35 ",,"$728,801.17 ",,"$1,263,559.52 ","$28,500.00 ",,,,"$1,007.65 ",,,"$1,000.00 ","$1,294,067.17 ","$1,124,039.97 ",,,"$2,600.00 ",,,,"$2,700.00 ",,,"$2,700.00 ","$59,000.00 ","$1,188,339.97 ","$309,377.68 ","$415,104.88 ","$1,260,859.52 ","$1,123,032.32 ",,,01-01-15,10/19/2016,Y,186743
H4SC01073,"SANFORD, MARSHALL C. HON.",H,SC,1,REP,INCUMBENT,509 KING STREET,,MOUNT PLEASANT,SC,294645312,"$431,608.00 ","$20,355.00 ","$451,963.00 ","$3,000.00 ","$224,750.00 ",,"$679,713.00 ",,,,,$134.11 ,,,,"$679,847.11 ","$154,416.02 ",,,,,,,,,,,$550.00 ,"$154,966.02 ","$504,337.04 ","$1,029,218.13 ","$679,713.00 ","$154,281.91 ",,,01-01-15,10/19/2016,Y,186735
H8CT04172,"HIMES, JIM",H,CT,4,DEM,INCUMBENT,197 VALLEY ROAD,,COS COB,CT,6807,"$945,056.00 ","$54,791.54 ","$999,847.54 ",,"$959,529.28 ",,"$1,959,376.82 ",,,,,"$2,960.00 ",,,"$65,795.48 ","$2,028,132.30 ","$598,863.38 ",,,,,,,"$5,305.00 ",,"$2,500.00 ","$7,805.00 ","$174,575.00 ","$781,243.38 ","$1,045,413.29 ","$2,292,302.21 ","$1,951,571.82 ","$595,903.38 ",,,01-01-15,10/19/2016,Y,185928
H4MO05234,"CLEAVER, EMANUEL II",H,MO,5,DEM,INCUMBENT,8217 E GREGORY BLVD,,KANSAS CITY,MO,641336325,"$199,249.95 ","$15,413.05 ","$214,663.00 ",,"$851,365.26 ",,"$1,066,028.26 ",,,,,$987.90 ,,,,"$1,067,016.16 ","$678,599.51 ",,,,,,,"$1,300.00 ",,"$21,500.00 ","$22,800.00 ","$12,000.00 ","$713,399.51 ","$73,434.15 ","$423,480.13 ","$1,043,228.26 ","$677,611.61 ",,,01-01-15,10/19/2016,Y,185494
H6CO07023,"PERLMUTTER, EDWIN G",H,CO,7,DEM,INCUMBENT,3440 YOUNGFIELD STREET #264,,WHEAT RIDGE,CO,80033,"$592,100.03 ","$65,399.82 ","$657,499.85 ",,"$1,135,352.36 ",,"$1,792,852.21 ",,,,,"$15,579.64 ",,,,"$1,808,431.85 ","$1,649,109.53 ",,,,,,,,,,,,"$1,649,109.53 ","$181,776.86 ","$341,099.18 ","$1,792,852.21 ","$1,633,529.89 ",,,01-01-15,10/19/2016,Y,185208
H4PA15087,"DENT, CHARLES W. REP.",H,PA,15,REP,INCUMBENT,3626 EVENING STAR TER,,ALLENTOWN,PA,181044546,"$532,879.00 ","$34,212.00 ","$567,091.00 ",,"$987,904.99 ",,"$1,554,995.99 ","$5,295.00 ",,,,"$1,343.00 ",,,"$2,273.62 ","$1,563,907.61 ","$931,106.67 ",,,,,,,$416.67 ,,"$5,400.00 ","$5,816.67 ","$457,000.00 ","$1,393,923.34 ","$937,815.58 ","$1,107,799.85 ","$1,549,179.32 ","$929,763.67 ",,,01-01-15,10/19/2016,Y,184562
H6FL13205,"CRIST, CHARLIE JOSEPH",H,FL,13,DEM,CHALLENGER,P.O. BOX 1547,,ST. PETERSBURG,FL,33731,"$1,089,869.58 ","$94,674.45 ","$1,184,544.03 ",,"$357,401.84 ","$13,204.00 ","$1,555,149.87 ",,"$38,700.00 ",,"$38,700.00 ",$345.00 ,,,,"$1,594,194.87 ","$1,424,005.22 ",,,,,,,"$1,040.00 ",,,"$1,040.00 ",,"$1,425,045.22 ",,"$169,149.65 ","$1,554,109.87 ","$1,423,660.22 ","$38,700.00 ",,10-01-15,10/19/2016,Y,184371
H6NJ12136,"LANCE, LEONARD",H,NJ,7,REP,INCUMBENT,PO BOX 225,,COLONIA,NJ,7067,"$315,443.18 ","$57,349.43 ","$372,792.61 ",,"$655,552.93 ",,"$1,028,345.54 ",$75.00 ,,,,$945.00 ,,,,"$1,029,365.54 ","$959,285.30 ",,,,,,,"$1,200.00 ",,,"$1,200.00 ","$70,293.00 ","$1,030,778.30 ","$318,474.65 ","$317,061.89 ","$1,027,145.54 ","$958,340.30 ","$68,493.85 ",,01-01-15,10/19/2016,Y,184309
H8NY06048,"MEEKS, GREGORY W.",H,NY,5,DEM,INCUMBENT,153-01 JAMAICA AVE.,SUITE 535,JAMAICA,NY,11432,"$199,127.38 ","$5,580.00 ","$204,707.38 ",,"$702,800.00 ",,"$907,507.38 ",,,,,"$2,871.67 ",,,"$1,234.76 ","$911,613.81 ","$837,932.25 ",,,,,,,,,,,"$89,305.00 ","$927,237.25 ","$165,427.26 ","$149,803.82 ","$907,507.38 ","$835,060.58 ",,,01-01-15,10/19/2016,Y,184179
H2PA09035,"SHUSTER, WILLIAM MR.",H,PA,9,REP,INCUMBENT,455 OVERLOOK DR,,HOLLIDAYSBURG,PA,16648,"$1,460,169.09 ","$23,793.47 ","$1,483,962.56 ",$250.00 ,"$2,224,229.55 ",,"$3,708,442.11 ","$7,083.33 ",,,,"$6,449.61 ",,,,"$3,721,975.05 ","$3,026,396.60 ",,,,,,,"$2,950.00 ",,"$1,200.00 ","$4,150.00 ","$509,983.60 ","$3,540,530.20 ","$415,297.62 ","$596,742.47 ","$3,704,292.11 ","$3,019,946.99 ",,,01-01-15,10/19/2016,Y,183798
H2SC02059,"WILSON, JOE THE HON.",H,SC,2,REP,INCUMBENT,PO BOX 2145,,WEST COLUMBIA,SC,291712145,"$356,128.50 ","$78,341.52 ","$434,470.02 ",,"$583,850.00 ",,"$1,018,320.02 ","$5,265.00 ",,,,$10.17 ,,,$149.98 ,"$1,023,745.17 ","$606,113.46 ",,,"$13,000.00 ",,,,,$500.00 ,,$500.00 ,,"$619,613.46 ","$222,664.51 ","$626,796.22 ","$1,017,820.02 ","$606,103.29 ",,,01-01-15,10/19/2016,Y,183766
H4MI07103,"WALBERG, TIMOTHY L HON.",H,MI,7,REP,INCUMBENT,6769 TEACHOUT ROAD,,TIPTON,MI,492879807,"$936,063.06 ","$112,722.63 ","$1,048,785.69 ","$5,085.00 ","$1,019,519.00 ",,"$2,073,389.69 ","$154,987.87 ",,,,,,,"$1,396.07 ","$2,229,773.63 ","$1,750,406.16 ",,,"$3,000.00 ",,,,"$2,900.00 ",,,"$2,900.00 ","$6,329.90 ","$1,762,636.06 ","$319,455.36 ","$786,592.93 ","$2,070,489.69 ","$1,750,406.16 ",,,01-01-15,10/19/2016,Y,183594
H0WA03187,"HERRERA BEUTLER, JAIME",H,WA,3,REP,INCUMBENT,PO BOX 1614,,RIDGEFIELD,WA,986420020,"$627,860.70 ","$224,815.72 ","$852,676.42 ",$500.00 ,"$411,900.00 ",,"$1,265,076.42 ",,,,,"$3,278.78 ",,,"$1,992.30 ","$1,270,347.50 ","$1,096,633.43 ",,,,,,,"$3,675.00 ",,,"$3,675.00 ","$188,935.00 ","$1,289,243.43 ","$855,171.89 ","$836,275.96 ","$1,261,401.42 ","$1,093,354.65 ",,,01-01-15,10/19/2016,Y,183375
H0FL12101,"ROSS, DENNIS ALAN",H,FL,15,REP,INCUMBENT,607 LAKE MIRIAM DR,,LAKELAND,FL,33813,"$234,104.99 ","$10,411.05 ","$244,516.04 ",,"$890,107.99 ",,"$1,134,624.03 ","$17,016.84 ",,,,"$5,118.70 ",,,,"$1,156,759.57 ","$925,570.50 ",,,,,,,,,,,,"$925,570.50 ","$15,343.06 ","$246,532.13 ","$1,134,624.03 ","$920,451.80 ",,,01-01-15,10/19/2016,Y,182498
H2NV02395,"AMODEI, MARK EUGENE",H,NV,2,REP,INCUMBENT,805 W SUNSET,,CARSON CITY,,89703,"$387,907.94 ","$15,075.00 ","$402,982.94 ",,"$381,534.08 ",,"$784,517.02 ",,,,,"$7,832.54 ",,,,"$792,349.56 ","$708,853.65 ",,,"$59,100.00 ",,,,"$7,107.94 ",,$651.43 ,"$7,759.37 ",,"$775,713.02 ","$195,378.40 ","$212,014.94 ","$776,757.65 ","$701,021.11 ","$9,000.00 ",,01-01-15,10/19/2016,Y,182452
H6FL07140,"MURPHY, STEPHANIE",H,FL,7,DEM,CHALLENGER,PO BOX 205,,WINTER PARK,FL,32790,"$405,509.10 ","$69,486.73 ","$474,995.83 ","$6,000.00 ","$279,834.73 ",,"$760,830.56 ",,"$16,000.00 ",,"$16,000.00 ",$712.96 ,,,,"$777,543.52 ","$601,835.23 ",,,,,,,"$1,510.00 ",,,"$1,510.00 ",,"$603,345.23 ",,"$174,198.29 ","$759,320.56 ","$601,122.27 ","$16,000.00 ",,04-01-16,10/19/2016,Y,181758
H8TX22107,"OLSON, PETER G.",H,TX,22,REP,INCUMBENT,3319 OAKMONT DR,,SUGAR LAND,TX,774792455,"$530,263.23 ","$14,217.00 ","$544,480.23 ",,"$905,650.44 ",,"$1,450,130.67 ",,,,,"$14,127.88 ",,,"$2,130.26 ","$1,466,388.81 ","$1,073,014.52 ",,,,,,,"$10,700.00 ",,$700.00 ,"$11,400.00 ","$87,295.31 ","$1,171,709.83 ","$330,544.29 ","$625,223.27 ","$1,438,730.67 ","$1,058,886.64 ",,,01-01-15,10/19/2016,Y,181663
H2NJ10154,"PAYNE, DONALD M., JR.",H,NJ,10,DEM,INCUMBENT,PO BOX 2406,,NEWARK,,7114,"$123,700.00 ","$10,725.24 ","$134,425.24 ",,"$369,229.84 ",,"$503,655.08 ",,,,,,,,($986.02),"$502,669.06 ","$386,122.77 ",,,,,,,,,"$5,425.00 ","$5,425.00 ","$23,300.00 ","$414,847.77 ","$30,620.59 ","$118,441.88 ","$498,230.08 ","$386,122.77 ",,,01-01-15,10/19/2016,Y,181591
H4MS02068,"THOMPSON, BENNIE G.",H,MS,2,DEM,INCUMBENT,P.O. BOX 100,,BOLTON,MS,39041,"$103,651.87 ","$10,475.96 ","$114,127.83 ",,"$808,666.87 ",,"$922,794.70 ",,,,,$217.34 ,,,"$2,808.90 ","$925,820.94 ","$761,482.51 ",,,,,,,,,,,"$47,875.00 ","$809,357.51 ","$1,256,540.21 ","$1,373,003.64 ","$922,794.70 ","$761,265.17 ",,,01-01-15,10/19/2016,Y,181108
H4FL20023,"SCHULTZ, DEBBIE WASSERMAN",H,FL,23,DEM,INCUMBENT,1071 WIN BRANCH LANE,,WESTON ,FL,33326,"$1,880,590.75 ","$879,480.03 ","$2,760,070.78 ",,"$804,564.47 ",,"$3,564,635.25 ","$243,675.00 ",,,,"$8,424.45 ",,,"$64,951.75 ","$3,881,686.45 ","$3,623,710.93 ",,,,,,,"$13,850.19 ",,,"$13,850.19 ","$218,882.24 ","$3,856,443.36 ","$362,511.92 ","$387,755.01 ","$3,550,785.06 ","$3,615,286.48 ",,,01-01-15,10/19/2016,Y,180979
H8CO06138,"COFFMAN, MIKE REP.",H,CO,6,REP,INCUMBENT,4950 S YOSEMITE ST F2 #511,,GREENWOOD VILLAGE,CO,801111349,"$1,700,715.71 ","$297,362.46 ","$1,998,078.17 ","$5,000.00 ","$1,196,478.15 ",,"$3,199,556.32 ","$80,087.07 ",,,,"$7,760.10 ",,,,"$3,287,403.49 ","$2,698,930.02 ",,,"$10,672.24 ",,,,"$45,110.00 ",,,"$45,110.00 ","$23,472.72 ","$2,778,184.98 ","$22,523.20 ","$531,741.71 ","$3,154,446.32 ","$2,691,169.92 ",,,01-01-15,10/19/2016,Y,180727
H2TX33040,"WILLIAMS, ROGER",H,TX,25,REP,INCUMBENT,P.O. BOX 91061,,AUSTIN,TX,787091061,"$822,689.77 ","$24,382.72 ","$847,072.49 ",,"$556,603.79 ",,"$1,403,676.28 ","$246,930.68 ",,,,"$10,654.20 ",,,"$1,972.66 ","$1,663,233.82 ","$1,062,736.27 ",,,"$3,358.09 ",,,,"$7,599.00 ",,"$7,595.00 ","$15,194.00 ","$25,300.00 ","$1,106,588.36 ","$416,817.86 ","$973,463.32 ","$1,388,482.28 ","$1,052,082.07 ","$7,513.77 ",,01-01-15,10/19/2016,Y,180579
H8NM01257,"LUJAN GRISHAM, MICHELLE",H,NM,1,DEM,INCUMBENT,1001 LOS ARBOLES AVE NW,,ALBUQUERQUE,NM,87107,"$864,713.16 ","$93,599.73 ","$958,312.89 ",$22.22 ,"$773,675.00 ",,"$1,732,010.11 ",,,,,"$58,329.36 ",,,,"$1,790,339.47 ","$1,265,686.52 ",,,,,,,"$40,928.23 ",,,"$40,928.23 ","$449,348.80 ","$1,755,963.55 ","$183,452.74 ","$217,828.66 ","$1,691,081.88 ","$1,207,357.16 ",,,01-01-15,10/19/2016,Y,179380
H2SC02042,"CLYBURN, JAMES E.",H,SC,6,DEM,INCUMBENT,501 JUNIPER STREET,,COLUMBIA,SC,29203,"$276,765.33 ","$61,220.90 ","$337,986.23 ",,"$1,694,661.97 ",,"$2,032,648.20 ",,,,,$111.00 ,,,"$4,012.52 ","$2,036,771.72 ","$864,790.61 ",,,,,,,"$7,510.00 ",,,"$7,510.00 ","$1,107,240.41 ","$1,979,541.02 ","$1,251,219.13 ","$1,308,449.83 ","$2,025,138.20 ","$864,679.61 ",,,01-01-15,10/19/2016,Y,179351
H2MN08111,"NOLAN, RICHARD M.",H,MN,8,DFL,INCUMBENT,31516 OLD BRIDGE ROAD,,CROSBY,MN,56441,"$827,186.63 ","$705,393.04 ","$1,532,579.67 ","$5,172.61 ","$1,033,405.16 ",,"$2,571,157.44 ",,,,,"$3,140.28 ",,,,"$2,574,297.72 ","$1,867,009.52 ",,,,,,,"$6,997.75 ",,"$2,700.00 ","$9,697.75 ","$5,687.00 ","$1,882,394.27 ","$26,663.37 ","$718,566.82 ","$2,561,459.69 ","$1,863,869.24 ",,,01-01-15,10/19/2016,Y,179106
H4TX10093,"MCCAUL, MICHAEL",H,TX,10,REP,INCUMBENT,815-A BRAZOS STREET,PMB 230,AUSTIN,TX,787012514,"$892,074.61 ","$51,883.95 ","$943,958.56 ",,"$671,060.44 ",,"$1,615,019.00 ","$49,360.58 ",,,,$748.36 ,,,,"$1,665,127.94 ","$1,377,394.51 ",,,,"$50,000.00 ",,"$50,000.00 ","$15,910.00 ",,,"$15,910.00 ","$60,149.00 ","$1,503,453.51 ","$61,663.44 ","$223,337.87 ","$1,599,109.00 ","$1,376,646.15 ","$105,000.00 ",,01-01-15,10/19/2016,Y,178926
H4NJ01084,"NORCROSS, DONALD W",H,NJ,1,DEM,INCUMBENT,1 MARKET STREET UNIT 522,,CAMDEN,NJ,8102,"$1,191,899.56 ","$18,771.23 ","$1,210,670.79 ",,"$817,014.81 ",,"$2,027,685.60 ",,"$249,661.83 ",,"$249,661.83 ","$1,846.72 ",,,$619.26 ,"$2,279,813.41 ","$1,853,551.89 ",,,,"$164,223.77 ",,"$164,223.77 ",$10.00 ,,,$10.00 ,"$1,200.00 ","$2,018,985.66 ","$25,920.04 ","$286,747.79 ","$2,027,675.60 ","$1,851,705.17 ","$234,661.83 ",,01-01-15,10/19/2016,Y,178655
H8OR05107,"SCHRADER, KURT",H,OR,5,DEM,INCUMBENT,2525 N BAKER,,CANBY,OR,97013,"$407,762.15 ","$49,753.83 ","$457,515.98 ",$34.94 ,"$1,266,028.88 ",,"$1,723,579.80 ",,,,,"$63,659.70 ",,,$890.01 ,"$1,788,129.51 ","$1,173,019.09 ",,,"$140,000.00 ","$98,750.00 ",,"$98,750.00 ","$1,510.00 ",,,"$1,510.00 ","$45,750.00 ","$1,459,029.09 ","$861,627.22 ","$1,190,727.64 ","$1,722,069.80 ","$1,109,359.39 ","$33,750.00 ",,01-01-15,10/19/2016,Y,178405
H8KS02090,"JENKINS, LYNN",H,KS,2,REP,INCUMBENT,PO BOX 1441,,TOPEKA,KS,666011441,"$734,156.20 ","$35,958.23 ","$770,114.43 ",$250.00 ,"$1,309,722.00 ",,"$2,080,086.43 ","$18,375.00 ",,,,,,,"$4,121.16 ","$2,102,582.59 ","$736,385.25 ",,,$10.00 ,,,,"$2,200.00 ",,"$3,000.00 ","$5,200.00 ","$153,700.00 ","$895,295.25 ","$308,719.18 ","$1,578,000.38 ","$2,074,886.43 ","$736,385.25 ",,,01-01-15,10/19/2016,Y,177851
H2CA06259,"HUFFMAN, JARED",H,CA,2,DEM,INCUMBENT,P.O. BOX 151563,,SAN RAFAEL,CA,94915,"$461,702.65 ","$73,704.14 ","$535,406.79 ",$50.00 ,"$383,486.48 ",,"$918,943.27 ",,,,,$689.25 ,,,"$3,666.63 ","$923,299.15 ","$522,026.11 ",,,,,,,"$10,260.00 ",,,"$10,260.00 ","$167,635.29 ","$699,921.40 ","$384,552.29 ","$607,930.04 ","$908,683.27 ","$521,336.86 ",,,01-01-15,10/19/2016,Y,177724
H4NJ03130,"MACARTHUR, THOMAS",H,NJ,3,REP,INCUMBENT,77 EAST WATER STREET #24,,TOMS RIVER,NJ,8753,"$715,393.16 ","$35,921.82 ","$751,314.98 ",,"$827,744.25 ",,"$1,579,059.23 ","$1,250.00 ","$200,000.00 ",,"$200,000.00 ",$999.30 ,,,"$22,379.43 ","$1,803,687.96 ","$1,254,461.53 ",,,,,,,"$4,725.00 ",,$600.00 ,"$5,325.00 ","$346,500.00 ","$1,606,286.53 ","$4,385.97 ","$201,787.40 ","$1,573,734.23 ","$1,253,462.23 ","$728,921.31 ",,01-01-15,10/19/2016,Y,177522
H0WA08046,"DELBENE, SUZAN K",H,WA,1,DEM,INCUMBENT,PO BOX 487,,BOTHELL,WA,98041,"$867,357.05 ","$153,360.40 ","$1,020,717.45 ","$1,184.00 ","$849,075.95 ",,"$1,870,977.40 ","$41,785.27 ",,,,"$15,685.70 ",,,,"$1,928,448.37 ","$999,515.57 ",,,,,,,"$12,503.07 ",,,"$12,503.07 ","$419,625.00 ","$1,431,643.64 ","$98,648.05 ","$595,452.78 ","$1,858,474.33 ","$983,829.87 ","$498,052.04 ",,01-01-15,10/19/2016,Y,176521
H0TN03254,"FLEISCHMANN, CHARLES J",H,TN,3,REP,INCUMBENT,735 BROAD STREET,SUITE 1000,CHATTANOOGA,TN,37402,"$960,240.72 ","$11,228.14 ","$971,468.86 ",,"$622,225.28 ",,"$1,593,694.14 ","$1,672.84 ",,,,"$1,012.72 ",,,,"$1,596,379.70 ","$828,760.21 ",,,"$5,700.00 ","$211,807.55 ",,"$211,807.55 ","$5,200.00 ",$500.00 ,,"$5,700.00 ",,"$1,051,967.76 ","$52,563.13 ","$596,975.07 ","$1,587,994.14 ","$827,747.49 ","$15,137.50 ",,01-01-15,10/19/2016,Y,176440
H4AR02141,"HILL, JAMES FRENCH",H,AR,2,REP,INCUMBENT,PO BOX 7841,,LITTLE ROCK,AR,72217,"$1,147,270.71 ","$43,628.67 ","$1,190,899.38 ","$1,250.00 ","$860,932.69 ",,"$2,053,082.07 ","$51,237.12 ",,,,"$39,200.07 ",,,,"$2,143,519.26 ","$1,362,892.40 ",,,,,,,$850.00 ,"$1,000.00 ",,"$1,850.00 ","$26,000.00 ","$1,390,742.40 ","$49,251.83 ","$802,028.69 ","$2,051,232.07 ","$1,323,692.33 ",,,01-01-15,10/19/2016,Y,176100
H0SC05031,"MULVANEY, JOHN MICHAEL 'MICK'",H,SC,5,REP,INCUMBENT,550 RALPH HOOD ROAD,,INDIAN LAND,SC,29707,"$534,385.99 ","$10,667.40 ","$545,053.39 ",,"$628,520.02 ",,"$1,173,573.41 ",,,,,"$1,214.13 ",,,$359.29 ,"$1,175,146.83 ","$792,879.69 ",,,,"$50,000.00 ",,"$50,000.00 ","$5,200.00 ",,,"$5,200.00 ","$18,500.00 ","$866,579.69 ","$203,170.83 ","$511,737.97 ","$1,168,373.41 ","$791,665.56 ","$88,600.00 ",,01-01-15,10/19/2016,Y,175139
H2CT05131,"ESTY, ELIZABETH",H,CT,5,DEM,INCUMBENT,213 PRESTON TER,,CHESHIRE,CT,6410,"$1,155,147.44 ","$121,487.38 ","$1,276,634.82 ","$4,091.64 ","$595,428.89 ",,"$1,876,155.35 ",,,,,$681.09 ,,,$164.50 ,"$1,877,000.94 ","$783,653.83 ",,,,,,,"$8,825.46 ",,,"$8,825.46 ","$107,600.00 ","$900,079.29 ","$47,328.58 ","$1,024,250.23 ","$1,867,329.89 ","$782,972.74 ","$149,250.00 ",,01-01-15,10/19/2016,Y,174788
H0MS04120,"PALAZZO, STEVEN MCCARTY",H,MS,4,REP,INCUMBENT,P.O. BOX 4634,,BILOXI,MS,39535,"$217,750.00 ","$10,226.28 ","$227,976.28 ",,"$508,600.00 ",,"$736,576.28 ",,,,,$716.82 ,,,,"$737,293.10 ","$370,093.19 ",,,"$130,000.00 ",,,,,,"$2,500.00 ","$2,500.00 ",,"$502,593.19 ","$58,354.36 ","$293,054.27 ","$734,076.28 ","$369,376.37 ","$2,500.00 ",,01-01-15,10/19/2016,Y,174783
H4WA08071,"REICHERT, DAVE",H,WA,8,REP,INCUMBENT,PO BOX 53322,,BELLEVUE,WA,98015,"$494,800.00 ","$107,595.68 ","$602,395.68 ",,"$900,529.50 ",,"$1,502,925.18 ",,,,,"$4,234.43 ",,,,"$1,507,159.61 ","$1,260,096.95 ",,,,,,,,,"$2,500.00 ","$2,500.00 ","$5,000.00 ","$1,267,596.95 ","$397,050.94 ","$636,613.60 ","$1,500,425.18 ","$1,255,862.52 ",,,01-01-15,10/19/2016,Y,174729
H6IN09176,"HOLLINGSWORTH, TREY",H,IN,9,REP,OPEN,PO BOX 421,,JEFFERSONVILLE,IN,47130,"$87,257.92 ","$6,890.53 ","$94,148.45 ",,"$136,450.00 ","$102,072.30 ","$332,670.75 ",,"$2,773,500.00 ",,"$2,773,500.00 ",,,,,"$3,106,170.75 ","$2,980,633.87 ",,,,"$43,422.19 ",,"$43,422.19 ",,,,,,"$3,024,056.06 ",,"$82,114.69 ","$332,670.75 ","$2,980,633.87 ","$1,272,120.01 ",,06-04-15,10/19/2016,Y,174698
H8NY01148,"ZELDIN, LEE M",H,NY,1,REP,INCUMBENT,PO BOX 610,,SHIRLEY,NY,11967,"$2,329,829.16 ","$360,641.00 ","$2,690,470.16 ","$8,150.00 ","$1,234,272.28 ",,"$3,932,892.44 ","$219,250.10 ",,,,,,,"$26,572.53 ","$4,178,715.07 ","$2,618,421.22 ",,,"$7,831.19 ",,,,"$5,100.00 ",,"$2,000.00 ","$7,100.00 ","$8,050.00 ","$2,641,402.41 ","$46,808.46 ","$1,584,121.12 ","$3,925,792.44 ","$2,618,421.22 ",,,01-01-15,10/19/2016,Y,174682
H0NH02181,"KUSTER, ANN MCLANE",H,NH,2,DEM,INCUMBENT,PO BOX 1498,,CONCORD,NH,3302,"$1,609,549.72 ","$283,538.64 ","$1,893,088.36 ","$5,001.60 ","$1,137,729.23 ",,"$3,035,819.19 ","$10,928.79 ",,,,"$32,836.17 ",,,$345.67 ,"$3,079,929.82 ","$1,613,155.07 ",,,"$2,500.00 ",,,,"$19,793.04 ",,"$7,500.00 ","$27,293.04 ","$159,390.00 ","$1,802,338.11 ","$30,194.38 ","$1,307,811.09 ","$3,008,526.15 ","$1,580,318.90 ",,,01-01-15,10/19/2016,Y,174386
H6MN02149,"LEWIS, JASON MARK MR.",H,MN,2,REP,OPEN,3057 ARDEN DR.,,WOODBURY,MN,55129,"$410,828.18 ","$247,306.78 ","$658,134.96 ","$1,500.00 ","$127,412.50 ",$525.00 ,"$787,572.46 ",,,,,$373.42 ,,,,"$787,945.88 ","$698,738.28 ",,,,,,,"$8,150.00 ",,"$6,500.00 ","$14,650.00 ",,"$713,388.28 ",,"$74,557.60 ","$772,922.46 ","$698,364.86 ",,,10-01-15,10/19/2016,Y,174030
H4NY04075,"RICE, KATHLEEN",H,NY,4,DEM,INCUMBENT,PO BOX 744,,MINEOLA,NY,11501,"$1,279,066.33 ","$69,416.91 ","$1,348,483.24 ",$36.94 ,"$568,290.31 ",,"$1,916,810.49 ","$99,836.78 ",,,,"$25,925.71 ",,,$6.52 ,"$2,042,579.50 ","$1,414,455.65 ",,,,,,,"$7,611.89 ",,"$5,000.00 ","$12,611.89 ",,"$1,427,067.54 ","$28,954.67 ","$644,466.63 ","$1,904,198.60 ","$1,388,529.94 ",,,01-01-15,10/19/2016,Y,173796
H4CA33119,"LIEU, TED",H,CA,33,DEM,INCUMBENT,6380 WILSHIRE BLVD # 1612,,LOS ANGELES,CA,90048,"$1,365,681.04 ","$65,983.11 ","$1,431,664.15 ",,"$443,555.05 ",$1.00 ,"$1,875,220.20 ",,,,,"$12,908.67 ",,,"$2,083.20 ","$1,890,212.07 ","$651,654.14 ",,,,,,,"$23,700.00 ",,,"$23,700.00 ","$351,287.00 ","$1,026,641.14 ","$121,864.10 ","$983,752.07 ","$1,851,520.20 ","$638,745.47 ",,,01-01-15,10/19/2016,Y,173778
H0GA07133,"WOODALL, ROB REP.",H,GA,7,REP,INCUMBENT,PO BOX 1871,,LAWRENCEVILLE,GA,300461871,"$192,000.00 ","$8,328.00 ","$200,328.00 ",,"$388,192.26 ",,"$588,520.26 ",,,,,$19.80 ,,,,"$588,540.06 ","$286,026.60 ",,,"$68,000.00 ",,,,,,,,"$2,500.00 ","$356,526.60 ","$50,148.46 ","$282,161.92 ","$588,520.26 ","$286,006.80 ",,,01-01-15,10/19/2016,Y,173638
